,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
253,2135752,SUBWAY,SUBWAY,1904894.0,Restaurant,Risk 1 (High),1300 S WABASH AVE ,CHICAGO,IL,60605.0,2018-01-22,Canvass Re-Inspection,Pass,"14. PREVIOUS SERIOUS VIOLATION CORRECTED, 7-42-090 - Comments: CORRECTED. FRONT ENTRANCE DOOR NOW RODENT PROOFED.",41.8656758724,-87.6259435313,"(41.8656758723776, -87.625943531346)"
290,2135751,MACKELLY'S,MACKELLY'S,2342288.0,Restaurant,Risk 1 (High),1347 S MICHIGAN AVE ,CHICAGO,IL,60605.0,2018-01-22,Canvass,No Entry,,41.8644656035,-87.6239358047,"(41.864465603515626, -87.62393580466959)"
355,2130193,"ASHLAND FOOD & TOBACCO, INC","ASHLAND FOOD & TOBACCO, INC",2129289.0,Grocery Store,Risk 3 (Low),7400 S ASHLAND AVE ,CHICAGO,IL,60636.0,2018-01-10,Complaint,Out of Business,,41.7593683965,-87.6637857159,"(41.75936839646027, -87.66378571586739)"
374,2135832,MARISCOS LA COSTA,MARISCOS LA COSTA,2523036.0,Restaurant,Risk 3 (Low),1132 N ASHLAND AVE ,CHICAGO,IL,60622.0,2018-01-23,License,Pass,38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: INSTRUCTED MANAGER TO INSTALL A DUMP SINK BEHIND THE BAR.,41.9025392996,-87.6676174629,"(41.902539299640786, -87.66761746288638)"
643,2135513,SUBWAY,SUBWAY,2289496.0,Restaurant,Risk 1 (High),1232 S CANAL ST ,CHICAGO,IL,60607.0,2018-01-17,Canvass,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN DRIED FOOD DEBRIS FROM FLOORS IN WALK-IN COOLER AND FROM TOILET ROOMS.",41.8663295354,-87.6393625873,"(41.86632953539469, -87.63936258728717)"
659,2130191,MARCELLO'S MARKET & DELI,MARCELLO'S MARKET & DELI,2398980.0,Restaurant,Risk 1 (High),100 W RANDOLPH ST ,CHICAGO,IL,60601.0,2018-01-10,Canvass Re-Inspection,Pass,,41.8845862672,-87.6310104459,"(41.88458626715456, -87.63101044588599)"
927,2135951,BARNEY CALLAGHAN'S PUB,BARNEY CALLAGHAN'S PUB,2569749.0,Liquor,Risk 3 (Low),10618 S WESTERN AVE ,CHICAGO,IL,60643.0,2018-01-25,License,Fail,"11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: OBSERVED NO HAND SINK IN BASEMENT PARTY ROOM BAR AREA, INSTRUCTED TO PROVIDE. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED NO UTILITY MOP SINK ON PREMISES AT THIS TIME. INSTRUCTED TO INSTALL.",41.7003016545,-87.6815733146,"(41.70030165449612, -87.68157331460962)"
971,2135929,SUSHI SAI,SUSHI SAI,1893197.0,Restaurant,Risk 1 (High),123 N WACKER DR ,CHICAGO,IL,60606.0,2018-01-24,Canvass Re-Inspection,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CORRECTED | 14. PREVIOUS SERIOUS VIOLATION CORRECTED, 7-42-090 - Comments: CORRECTED",41.8837482169,-87.6366618383,"(41.883748216941356, -87.6366618383099)"
1197,2135472,WICKER BASKET MARKET,WICKER BASKET MARKET,2560421.0,Restaurant,Risk 1 (High),907 N DAMEN AVE ,CHICAGO,IL,60622.0,2018-01-16,License,Pass,"36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: NOTED THE LIGHT SHIELD INSIDE THE REACH IN POP COOLER IN POOR REPAIR. MUST REPAIR AND MAINTAIN.",41.8979556919,-87.6769639059,"(41.89795569189251, -87.67696390590685)"
1214,2135469,RICCARDO TRATTORIA TOSCANA,RICCARDO TRATTORIA TOSCANA,1647950.0,Restaurant,Risk 1 (High),2119 N CLARK ST ,CHICAGO,IL,60614.0,2018-01-16,Canvass,No Entry,,41.9207578516,-87.6373940357,"(41.92075785156088, -87.63739403570438)"
